iter	Passed	Remaining
853	144425	24691
854	144603	24523
855	144760	24352
856	144912	24180
857	145033	24003
858	145204	23834
859	145387	23667
860	145539	23495
861	145714	23327
862	145894	23160
863	146031	22986
864	146185	22815
865	146339	22643
866	146500	22473
867	146669	22304
868	146836	22135
869	146967	21960
870	147156	21794
871	147302	21622
872	147476	21454
873	147609	21280
874	147773	21110
875	147900	20935
876	148070	20767
877	148221	20595
878	148362	20423
879	148516	20252
880	148665	20080
881	148813	19909
882	148982	19740
883	149137	19570
884	149322	19403
885	149497	19235
886	149678	19068
887	149831	18897
888	149987	18727
889	150156	18558
890	150305	18387
891	150469	18218
892	150622	18047
893	150775	17877
894	150948	17709
895	151107	17539
896	151288	17372
897	151425	17199
898	151557	17027
899	151707	16856
900	151862	16686
901	151975	16511
902	152148	16343
903	152302	16173
904	152476	16005
905	152629	15835
906	152761	15663
907	152925	15494
908	153085	15325
909	153266	15158
910	153445	14990
911	153606	14821
912	153767	14652
913	153935	14484
914	154062	14311
915	154222	14142
916	154386	13973
917	154556	13805
918	154710	13636
919	154860	13466
920	155000	13295
921	155154	13125
922	155305	12956
923	155452	12786
924	155605	12616
925	155754	12446
926	155875	12274
927	156029	12105
928	156189	11936
929	156322	11766
930	156453	11595
931	156570	11423
932	156709	11253
933	156877	11085
934	156995	10914
935	157148	10745
936	157321	10577
937	157455	10407
938	157620	10239
939	157798	10072
940	157956	9903
941	158129	9736
942	158278	9567
943	158416	9397
944	158599	9230
945	158743	9061
946	158898	8892
947	159074	8725
948	159249	8558
949	159407	8389
950	159579	8222
951	159731	8053
952	159886	7885
953	160044	7717
954	160191	7548
955	160349	7380
956	160512	7212
957	160677	7044
958	160844	6876
959	161032	6709
960	161216	6542
961	161367	6374
962	161510	6205
963	161664	6037
964	161830	5869
965	162009	5702
966	162183	5534
967	162362	5367
968	162499	5198
969	162641	5030
970	162809	4862
971	162972	4694
972	163129	4526
973	163264	4358
974	163414	4190
975	163599	4022
976	163773	3855
977	163950	3688
978	164119	3520
979	164279	3352
980	164441	3184
981	164583	3016
982	164721	2848
983	164876	2680
984	165043	2513
985	165214	2345
986	165381	2178
987	165550	2010
988	165710	1843
989	165885	1675
990	166050	1508
991	166240	1340
992	166427	1173
993	166610	1005
994	166764	838
995	166923	670
996	167084	502
997	167194	335
998	167336	167
999	167514	0
